replay_case_id,symbol,as_of_date,size_group,mcap_b,sector,data_quality,st_status,market_cap_quality,market_cap,ma20,atr_pct,macd,vol_ratio,price_pos,turnover_1d,avg_turnover_20d,filter_market_cap,filter_st,filter_turnover_1d,filter_turnover_20d,filter_price_pos,filter_vol_ratio,filter_atr,final_candidate,exclusion_reason,pit_confidence,mode,replay_confidence,case_hash
300029_2012-06-15,300029,2012-06-15,SMALL,0.24,其他专业工程,PARTIAL,UNKNOWN,UNKNOWN,0,0.7626421893169867,4.997535368407131,-7.254828201962668,1.7650503397072188,,81932515.625,43931445.703125,UNKNOWN,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,3d16afa7
300029_2015-06-15,300029,2015-06-15,SMALL,0.24,其他专业工程,PARTIAL,UNKNOWN,UNKNOWN,0,0.5075085606487746,5.588544921030434,6.551782058150344,0.9978598429117642,95.33980776621134,196021765.625,154986846.09375,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,95987ad5
300029_2018-10-15,300029,2018-10-15,SMALL,0.24,其他专业工程,PARTIAL,UNKNOWN,UNKNOWN,0,5.409,3.7876528481956466,-3.07812017813731,0.43643392283356597,56.690705051779986,7059022.0,20817327.65,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,72acd53b
605081_2021-10-15,605081,2021-10-15,SMALL,0.45,水务及水治理,PARTIAL,UNKNOWN,UNKNOWN,0,23.642,3.058560238716892,-0.6187414225803507,0.5071702399545648,,9516428.0,17512172.05,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,1d85346d
605081_2022-12-15,605081,2022-12-15,SMALL,0.45,水务及水治理,PARTIAL,UNKNOWN,UNKNOWN,0,16.8265,1.297919889977656,-0.2037796078588816,1.038751739799282,,7546248.0,12651812.5,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,d58aaacd
605081_2024-06-15,605081,2024-06-15,SMALL,0.45,水务及水治理,PARTIAL,UNKNOWN,UNKNOWN,0,12.102,5.862312030075186,-0.3072674613778306,1.0720093832746105,28.33850931677019,73225600.0,67137280.0,UNKNOWN,UNKNOWN,FAIL,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,cb0b9216
600421_2007-10-15,600421,2007-10-15,SMALL,0.47,金属制品,PARTIAL,UNKNOWN,UNKNOWN,0,0.37255389212348966,5.801789918469864,3.8434205188814157,1.0415521674521788,,12175596.6796875,11932486.364746094,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,57d1cfe2
600421_2008-10-15,600421,2008-10-15,SMALL,0.47,金属制品,PARTIAL,UNKNOWN,UNKNOWN,0,0.6003021273234727,3.6324911256861174,0.23308083841703287,0.8973110348006679,61.951214438176784,8711544.921875,12425603.002929688,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,7ad62099
600421_2012-06-15,600421,2012-06-15,SMALL,0.47,金属制品,PARTIAL,UNKNOWN,UNKNOWN,0,0.8611381821313685,3.0455778063279313,-1.6012513817682799,0.8083528483492485,24.068479083170395,12295022.4609375,14781895.532226562,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,b446880d
600608_2005-06-15,600608,2005-06-15,SMALL,0.56,贸易Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,1.8742078770050963,3.9599852180211057,-0.431632830784237,0.5024629381863096,40.207658123052234,30441498.046875,55501985.7421875,UNKNOWN,UNKNOWN,FAIL,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,e2d84f1f
600608_2007-10-15,600608,2007-10-15,SMALL,0.56,贸易Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.8732452598425141,3.6329798356718,-0.5683965291864567,0.8940280608417749,20.516124908018423,17378132.8125,15854434.838867188,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,a4ee71e4
600608_2008-10-15,600608,2008-10-15,SMALL,0.56,贸易Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,2.7032415968654435,4.502166393632118,4.688698830070201,1.9413579449893728,81.56563597522592,248476968.75,66251975.29296875,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,e3254e87
600193_2005-06-15,600193,2005-06-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.8420358848932337,2.7414875566764385,0.3869533802730116,0.9363465688786733,23.56630746115868,1170036.0107421875,3108228.692626953,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,02cd7962
600193_2007-10-15,600193,2007-10-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.585247429647608,3.4509405218630036,-1.7609919302627002,0.8075273517453666,46.67746482488677,5914196.77734375,2929718.1640625,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,9275c6a4
600193_2008-10-15,600193,2008-10-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,3.1936970919877687,4.612135213617301,-0.28154646462969435,0.8280909488845396,88.80443674611017,177717562.5,91678716.40625,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,45c569ce
600599_2005-06-15,600599,2005-06-15,SMALL,0.71,金融控股,PARTIAL,UNKNOWN,UNKNOWN,0,0.7108356954358148,5.657938472925364,1.2821040297405866,0.4007265206895825,19.983380835985404,1007622.9858398438,5227649.502563477,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,19596bcb
600599_2007-10-15,600599,2007-10-15,SMALL,0.71,金融控股,PARTIAL,UNKNOWN,UNKNOWN,0,0.2682657494189891,6.894634741722366,4.746370883869443,1.7561458566656827,20.36753108617807,5505565.91796875,4721783.685302734,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,941b5928
