symbol,name,target_date,size_group,mcap_b,sector,year
300029,天龙退,2012-06-15,SMALL,0.24,其他专业工程,2012
300029,天龙退,2015-06-15,SMALL,0.24,其他专业工程,2015
300029,天龙退,2018-10-15,SMALL,0.24,其他专业工程,2018
605081,退市太和,2021-10-15,SMALL,0.45,水务及水治理,2021
605081,退市太和,2022-12-15,SMALL,0.45,水务及水治理,2022
605081,退市太和,2024-06-15,SMALL,0.45,水务及水治理,2024
600421,退市华嵘,2007-10-15,SMALL,0.47,金属制品,2007
600421,退市华嵘,2008-10-15,SMALL,0.47,金属制品,2008
600421,退市华嵘,2012-06-15,SMALL,0.47,金属制品,2012
600608,退市沪科,2005-06-15,SMALL,0.56,贸易Ⅲ,2005
600608,退市沪科,2007-10-15,SMALL,0.56,贸易Ⅲ,2007
600608,退市沪科,2008-10-15,SMALL,0.56,贸易Ⅲ,2008
002808,恒久退,2018-10-15,SMALL,0.59,光学元件,2018
002808,恒久退,2020-06-15,SMALL,0.59,光学元件,2020
002808,恒久退,2021-10-15,SMALL,0.59,光学元件,2021
002898,赛隆退,2018-10-15,SMALL,0.65,化学制剂,2018
002898,赛隆退,2020-06-15,SMALL,0.65,化学制剂,2020
002898,赛隆退,2021-10-15,SMALL,0.65,化学制剂,2021
000004,国华退,2005-06-15,SMALL,0.68,横向通用软件,2005
000004,国华退,2007-10-15,SMALL,0.68,横向通用软件,2007
000004,国华退,2008-10-15,SMALL,0.68,横向通用软件,2008
600193,退市创兴,2005-06-15,SMALL,0.68,装修装饰Ⅲ,2005
600193,退市创兴,2007-10-15,SMALL,0.68,装修装饰Ⅲ,2007
600193,退市创兴,2008-10-15,SMALL,0.68,装修装饰Ⅲ,2008
600599,退市熊猫,2005-06-15,SMALL,0.71,金融控股,2005
600599,退市熊猫,2007-10-15,SMALL,0.71,金融控股,2007
600599,退市熊猫,2008-10-15,SMALL,0.71,金融控股,2008
600200,退市苏吴,2005-06-15,SMALL,2.06,医药商业,2005
600200,退市苏吴,2007-10-15,SMALL,2.06,医药商业,2007
600200,退市苏吴,2008-10-15,SMALL,2.06,医药商业,2008
600696,退市岩石,2005-06-15,SMALL,2.48,白酒Ⅲ,2005
600696,退市岩石,2007-10-15,SMALL,2.48,白酒Ⅲ,2007
600696,退市岩石,2008-10-15,SMALL,2.48,白酒Ⅲ,2008
301139,元道通信,2022-12-15,SMALL,4.55,通信工程及服务,2022
301139,元道通信,2024-06-15,SMALL,4.55,通信工程及服务,2024
600636,退市国化,2005-06-15,MID,7.5,教育运营及其他,2005
600636,退市国化,2007-10-15,MID,7.5,教育运营及其他,2007
600636,退市国化,2008-10-15,MID,7.5,教育运营及其他,2008
300417,南华仪器,2015-06-15,MID,13.23,仪器仪表,2015
300417,南华仪器,2018-10-15,MID,13.23,仪器仪表,2018
300417,南华仪器,2020-06-15,MID,13.23,仪器仪表,2020
600455,博通股份,2007-10-15,MID,13.36,垂直应用软件,2007
600455,博通股份,2008-10-15,MID,13.36,垂直应用软件,2008
600455,博通股份,2012-06-15,MID,13.36,垂直应用软件,2012
300621,维业股份,2018-10-15,MID,13.67,装修装饰Ⅲ,2018
300621,维业股份,2020-06-15,MID,13.67,装修装饰Ⅲ,2020
300621,维业股份,2021-10-15,MID,13.67,装修装饰Ⅲ,2021
301167,建研设计,2022-12-15,MID,14.03,工程咨询服务Ⅲ,2022
301167,建研设计,2024-06-15,MID,14.03,工程咨询服务Ⅲ,2024
300535,达威股份,2018-10-15,MID,14.04,其他化学制品,2018
300535,达威股份,2020-06-15,MID,14.04,其他化学制品,2020
300535,达威股份,2021-10-15,MID,14.04,其他化学制品,2021
300405,科隆股份,2015-06-15,MID,14.08,其他化学制品,2015
300405,科隆股份,2018-10-15,MID,14.08,其他化学制品,2018
300405,科隆股份,2020-06-15,MID,14.08,其他化学制品,2020
600561,江西长运,2005-06-15,MID,14.51,公交,2005
600561,江西长运,2007-10-15,MID,14.51,公交,2007
600561,江西长运,2008-10-15,MID,14.51,公交,2008
300220,金运激光,2015-06-15,MID,14.77,娱乐用品,2015
300220,金运激光,2018-10-15,MID,14.77,娱乐用品,2018
300220,金运激光,2020-06-15,MID,14.77,娱乐用品,2020
300500,启迪设计,2018-10-15,MID,14.81,工程咨询服务Ⅲ,2018
300500,启迪设计,2020-06-15,MID,14.81,工程咨询服务Ⅲ,2020
300500,启迪设计,2021-10-15,MID,14.81,工程咨询服务Ⅲ,2021
002207,准油股份,2012-06-15,MID,14.83,油田服务,2012
002207,准油股份,2015-06-15,MID,14.83,油田服务,2015
002207,准油股份,2018-10-15,MID,14.83,油田服务,2018
300635,中达安,2018-10-15,MID,14.84,工程咨询服务Ⅲ,2018
300635,中达安,2020-06-15,MID,14.84,工程咨询服务Ⅲ,2020
300635,中达安,2021-10-15,MID,14.84,工程咨询服务Ⅲ,2021
600493,凤竹纺织,2005-06-15,MID,14.88,棉纺,2005
600493,凤竹纺织,2007-10-15,MID,14.88,棉纺,2007
600493,凤竹纺织,2008-10-15,MID,14.88,棉纺,2008
000929,兰州黄河,2005-06-15,MID,14.9,啤酒,2005
000929,兰州黄河,2007-10-15,MID,14.9,啤酒,2007
000929,兰州黄河,2008-10-15,MID,14.9,啤酒,2008
300605,恒锋信息,2018-10-15,MID,14.91,垂直应用软件,2018
300605,恒锋信息,2020-06-15,MID,14.91,垂直应用软件,2020
300605,恒锋信息,2021-10-15,MID,14.91,垂直应用软件,2021
300614,百川畅银,2021-10-15,MID,15.0,固废治理,2021
300614,百川畅银,2022-12-15,MID,15.0,固废治理,2022
300614,百川畅银,2024-06-15,MID,15.0,固废治理,2024
002188,中天服务,2012-06-15,MID,15.5,物业管理,2012
002188,中天服务,2015-06-15,MID,15.5,物业管理,2015
002188,中天服务,2018-10-15,MID,15.5,物业管理,2018
603717,天域生物,2018-10-15,MID,15.58,园林工程,2018
603717,天域生物,2020-06-15,MID,15.58,园林工程,2020
603717,天域生物,2021-10-15,MID,15.58,园林工程,2021
301037,保立佳,2022-12-15,MID,15.63,涂料油墨,2022
301037,保立佳,2024-06-15,MID,15.63,涂料油墨,2024
603022,新通联,2018-10-15,MID,15.7,综合包装,2018
603022,新通联,2020-06-15,MID,15.7,综合包装,2020
603022,新通联,2021-10-15,MID,15.7,综合包装,2021
603327,福蓉科技,2020-06-15,LARGE,90.12,消费电子零部件及组装,2020
603327,福蓉科技,2021-10-15,LARGE,90.12,消费电子零部件及组装,2021
603327,福蓉科技,2022-12-15,LARGE,90.12,消费电子零部件及组装,2022
600666,奥瑞德,2005-06-15,LARGE,90.24,面板,2005
600666,奥瑞德,2007-10-15,LARGE,90.24,面板,2007
600666,奥瑞德,2008-10-15,LARGE,90.24,面板,2008
600185,珠免集团,2005-06-15,LARGE,90.29,旅游零售Ⅲ,2005
600185,珠免集团,2007-10-15,LARGE,90.29,旅游零售Ⅲ,2007
600185,珠免集团,2008-10-15,LARGE,90.29,旅游零售Ⅲ,2008
000676,智度股份,2005-06-15,LARGE,90.33,营销代理,2005
000676,智度股份,2007-10-15,LARGE,90.33,营销代理,2007
000676,智度股份,2008-10-15,LARGE,90.33,营销代理,2008
603533,掌阅科技,2018-10-15,LARGE,90.37,文字媒体,2018
603533,掌阅科技,2020-06-15,LARGE,90.37,文字媒体,2020
603533,掌阅科技,2021-10-15,LARGE,90.37,文字媒体,2021
002173,创新医疗,2008-10-15,LARGE,90.38,医院,2008
002173,创新医疗,2012-06-15,LARGE,90.38,医院,2012
002173,创新医疗,2015-06-15,LARGE,90.38,医院,2015
002635,安洁科技,2015-06-15,LARGE,90.38,消费电子零部件及组装,2015
002635,安洁科技,2018-10-15,LARGE,90.38,消费电子零部件及组装,2018
002635,安洁科技,2020-06-15,LARGE,90.38,消费电子零部件及组装,2020
000848,承德露露,2005-06-15,LARGE,90.47,软饮料,2005
000848,承德露露,2007-10-15,LARGE,90.47,软饮料,2007
000848,承德露露,2008-10-15,LARGE,90.47,软饮料,2008
300276,三丰智能,2015-06-15,LARGE,90.51,机器人,2015
300276,三丰智能,2018-10-15,LARGE,90.51,机器人,2018
300276,三丰智能,2020-06-15,LARGE,90.51,机器人,2020
301188,力诺药包,2022-12-15,LARGE,90.8,医疗耗材,2022
301188,力诺药包,2024-06-15,LARGE,90.8,医疗耗材,2024
603328,依顿电子,2015-06-15,LARGE,90.86,印制电路板,2015
603328,依顿电子,2018-10-15,LARGE,90.86,印制电路板,2018
603328,依顿电子,2020-06-15,LARGE,90.86,印制电路板,2020
300624,万兴科技,2018-10-15,LARGE,90.91,横向通用软件,2018
300624,万兴科技,2020-06-15,LARGE,90.91,横向通用软件,2020
300624,万兴科技,2021-10-15,LARGE,90.91,横向通用软件,2021
600729,重百集团,2005-06-15,LARGE,90.95,多业态零售,2005
600729,重百集团,2007-10-15,LARGE,90.95,多业态零售,2007
600729,重百集团,2008-10-15,LARGE,90.95,多业态零售,2008
002351,漫步者,2012-06-15,LARGE,90.96,品牌消费电子,2012
002351,漫步者,2015-06-15,LARGE,90.96,品牌消费电子,2015
002351,漫步者,2018-10-15,LARGE,90.96,品牌消费电子,2018
301191,菲菱科思,2022-12-15,LARGE,90.99,通信终端及配件,2022
301191,菲菱科思,2024-06-15,LARGE,90.99,通信终端及配件,2024
605123,派克新材,2021-10-15,LARGE,91.11,航空装备Ⅲ,2021
605123,派克新材,2022-12-15,LARGE,91.11,航空装备Ⅲ,2022
605123,派克新材,2024-06-15,LARGE,91.11,航空装备Ⅲ,2024
603601,再升科技,2018-10-15,LARGE,91.39,其他专业工程,2018
603601,再升科技,2020-06-15,LARGE,91.39,其他专业工程,2020
603601,再升科技,2021-10-15,LARGE,91.39,其他专业工程,2021
300497,富祥股份,2018-10-15,LARGE,91.41,原料药,2018
300497,富祥股份,2020-06-15,LARGE,91.41,原料药,2020
300497,富祥股份,2021-10-15,LARGE,91.41,原料药,2021
600307,酒钢宏兴,2005-06-15,LARGE,91.45,板材,2005
600307,酒钢宏兴,2007-10-15,LARGE,91.45,板材,2007
600307,酒钢宏兴,2008-10-15,LARGE,91.45,板材,2008
