symbol,target_date,size_class,size_class_source,historical_mcap_b,mcap_quality,share_effective_date,share_date_quality,current_size_group
000001,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.3671209776780273,PIT_SAFE,2000-12-08,KNOWN_EFFECTIVE_DATE,LARGE
000001,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,8.921661875617422,PIT_SAFE,2000-12-08,KNOWN_EFFECTIVE_DATE,LARGE
000001,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.637060674088397,PIT_SAFE,2000-12-08,KNOWN_EFFECTIVE_DATE,LARGE
002594,2015-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,58.88771065865235,PIT_SAFE,2014-05-30,KNOWN_EFFECTIVE_DATE,LARGE
002594,2018-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,37.00670183540258,PIT_SAFE,2014-05-30,KNOWN_EFFECTIVE_DATE,LARGE
002594,2022-12-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,214.9354950629239,PIT_SAFE,2014-05-30,KNOWN_EFFECTIVE_DATE,LARGE
600007,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,12.66261332326276,PIT_SAFE,2006-10-30,KNOWN_EFFECTIVE_DATE,LARGE
600007,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.853237424368598,PIT_SAFE,2006-10-30,KNOWN_EFFECTIVE_DATE,LARGE
600007,2012-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.017180658513796,PIT_SAFE,2009-10-30,KNOWN_EFFECTIVE_DATE,LARGE
600009,2022-12-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,140.04400255040875,PIT_SAFE,2022-09-23,KNOWN_EFFECTIVE_DATE,LARGE
600009,2024-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,80.6019106026,PIT_SAFE,2022-09-23,KNOWN_EFFECTIVE_DATE,LARGE
600009,2005-06-15,MID,APPROXIMATE_HISTORICAL_MCAP,20.49390996180761,APPROXIMATE,2004-12-31,APPROXIMATE_EFFECTIVE_DATE,LARGE
600010,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.7422043297518149,PIT_SAFE,2001-03-09,KNOWN_EFFECTIVE_DATE,LARGE
600010,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,15.871014464718504,PIT_SAFE,2007-09-18,KNOWN_EFFECTIVE_DATE,LARGE
600010,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,8.653463975898688,PIT_SAFE,2007-09-18,KNOWN_EFFECTIVE_DATE,LARGE
600019,2005-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,32.513087318048505,PIT_SAFE,2005-05-09,KNOWN_EFFECTIVE_DATE,LARGE
600019,2007-10-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,96.32970097108937,PIT_SAFE,2005-05-09,KNOWN_EFFECTIVE_DATE,LARGE
600019,2008-10-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,111.57020659009649,PIT_SAFE,2005-05-09,KNOWN_EFFECTIVE_DATE,LARGE
600020,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.7681738314428823,PIT_SAFE,2003-08-08,KNOWN_EFFECTIVE_DATE,MID
600020,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,5.11021676389004,PIT_SAFE,2003-08-08,KNOWN_EFFECTIVE_DATE,MID
600020,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.8307832642150272,PIT_SAFE,2003-08-08,KNOWN_EFFECTIVE_DATE,MID
600028,2005-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,84.44656894986099,PIT_SAFE,2001-08-08,KNOWN_EFFECTIVE_DATE,LARGE
600028,2007-10-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,482.2957273157443,PIT_SAFE,2001-08-08,KNOWN_EFFECTIVE_DATE,LARGE
600028,2008-10-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,266.607325304352,PIT_SAFE,2001-08-08,KNOWN_EFFECTIVE_DATE,LARGE
600029,2005-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,12.90172686742964,PIT_SAFE,2003-07-25,KNOWN_EFFECTIVE_DATE,LARGE
600029,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,42.66712781601394,PIT_SAFE,2003-07-25,KNOWN_EFFECTIVE_DATE,LARGE
600029,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,14.882699886943527,PIT_SAFE,2003-07-25,KNOWN_EFFECTIVE_DATE,LARGE
600035,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.1794829079835323,PIT_SAFE,2004-03-10,KNOWN_EFFECTIVE_DATE,MID
600035,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.5758081742793864,PIT_SAFE,2004-03-10,KNOWN_EFFECTIVE_DATE,MID
600035,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.7647838870214367,PIT_SAFE,2004-03-10,KNOWN_EFFECTIVE_DATE,MID
600037,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.270318041062552,PIT_SAFE,2001-02-08,KNOWN_EFFECTIVE_DATE,LARGE
600037,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.760573059554342,PIT_SAFE,2001-02-08,KNOWN_EFFECTIVE_DATE,LARGE
600037,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.3540990230877945,PIT_SAFE,2001-02-08,KNOWN_EFFECTIVE_DATE,LARGE
600038,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.2920250308352923,PIT_SAFE,2003-10-08,KNOWN_EFFECTIVE_DATE,LARGE
600038,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.5630150790899275,PIT_SAFE,2003-10-08,KNOWN_EFFECTIVE_DATE,LARGE
600038,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,3.9731776060440676,PIT_SAFE,2003-10-08,KNOWN_EFFECTIVE_DATE,LARGE
600050,2005-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,35.03163662166474,PIT_SAFE,2004-07-29,KNOWN_EFFECTIVE_DATE,LARGE
600050,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,86.81277525215022,PIT_SAFE,2004-07-29,KNOWN_EFFECTIVE_DATE,LARGE
600050,2008-10-15,LARGE,PIT_SAFE_HISTORICAL_MCAP,144.0675996138979,PIT_SAFE,2004-07-29,KNOWN_EFFECTIVE_DATE,LARGE
600059,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.3484949655522797,PIT_SAFE,2001-09-04,KNOWN_EFFECTIVE_DATE,MID
600059,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.0928066558103224,PIT_SAFE,2001-09-04,KNOWN_EFFECTIVE_DATE,MID
600059,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.1000683979755956,PIT_SAFE,2001-09-04,KNOWN_EFFECTIVE_DATE,MID
600062,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.4461616353780044,PIT_SAFE,2001-08-20,KNOWN_EFFECTIVE_DATE,LARGE
600062,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.780416978000404,PIT_SAFE,2001-08-20,KNOWN_EFFECTIVE_DATE,LARGE
600062,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,5.879704150011296,PIT_SAFE,2008-04-29,KNOWN_EFFECTIVE_DATE,LARGE
600067,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.1298696140253969,PIT_SAFE,2000-07-19,KNOWN_EFFECTIVE_DATE,MID
600067,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,3.7134535697056736,PIT_SAFE,2007-05-23,KNOWN_EFFECTIVE_DATE,MID
600067,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.2495608706789936,PIT_SAFE,2008-08-13,KNOWN_EFFECTIVE_DATE,MID
600071,2022-12-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.214998816375179,PIT_SAFE,2022-06-13,KNOWN_EFFECTIVE_DATE,MID
600071,2024-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.910648624160001,PIT_SAFE,2022-06-13,KNOWN_EFFECTIVE_DATE,MID
600071,2005-06-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,1.206631030240179,APPROXIMATE,2004-12-31,APPROXIMATE_EFFECTIVE_DATE,MID
600081,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.41429081726465883,PIT_SAFE,2000-01-28,KNOWN_EFFECTIVE_DATE,MID
600081,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.9940689471398719,PIT_SAFE,2000-01-28,KNOWN_EFFECTIVE_DATE,MID
600081,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.4525780503898849,PIT_SAFE,2000-01-28,KNOWN_EFFECTIVE_DATE,MID
600096,2012-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,8.03103740317884,PIT_SAFE,2012-05-21,KNOWN_EFFECTIVE_DATE,LARGE
600096,2015-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,15.936293332251742,PIT_SAFE,2014-05-19,KNOWN_EFFECTIVE_DATE,LARGE
600096,2018-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.3267366374168095,PIT_SAFE,2016-07-15,KNOWN_EFFECTIVE_DATE,LARGE
600110,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.16420812383881667,PIT_SAFE,2001-09-13,KNOWN_EFFECTIVE_DATE,LARGE
600110,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.22987377608431261,PIT_SAFE,2001-09-13,KNOWN_EFFECTIVE_DATE,LARGE
600110,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.144363440230524,PIT_SAFE,2008-02-04,KNOWN_EFFECTIVE_DATE,LARGE
600111,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.17399684179928715,PIT_SAFE,2000-04-12,KNOWN_EFFECTIVE_DATE,LARGE
600111,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.9092994756722228,PIT_SAFE,2000-04-12,KNOWN_EFFECTIVE_DATE,LARGE
600111,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.904783577356293,PIT_SAFE,2000-04-12,KNOWN_EFFECTIVE_DATE,LARGE
600116,2012-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.0796900289555842,PIT_SAFE,2011-06-29,KNOWN_EFFECTIVE_DATE,LARGE
600116,2015-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.034322402974475,PIT_SAFE,2015-02-04,KNOWN_EFFECTIVE_DATE,LARGE
600116,2018-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.36098601862115,PIT_SAFE,2018-02-05,KNOWN_EFFECTIVE_DATE,LARGE
600118,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.1023932409837507,PIT_SAFE,2008-01-08,KNOWN_EFFECTIVE_DATE,LARGE
600118,2012-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.128403679314084,PIT_SAFE,2011-01-12,KNOWN_EFFECTIVE_DATE,LARGE
600118,2015-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,80.36602821311081,PIT_SAFE,2013-08-21,KNOWN_EFFECTIVE_DATE,LARGE
600123,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.5443552330591864,PIT_SAFE,2000-12-08,KNOWN_EFFECTIVE_DATE,LARGE
600123,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.021306404985049,PIT_SAFE,2006-12-27,KNOWN_EFFECTIVE_DATE,LARGE
600123,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.6744079305980895,PIT_SAFE,2007-12-28,KNOWN_EFFECTIVE_DATE,LARGE
600127,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.5737316955441052,PIT_SAFE,2001-02-06,KNOWN_EFFECTIVE_DATE,MID
600127,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.9514052981484626,PIT_SAFE,2006-01-11,KNOWN_EFFECTIVE_DATE,MID
600127,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.9069318987637227,PIT_SAFE,2006-01-11,KNOWN_EFFECTIVE_DATE,MID
600149,2005-06-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,0.9447136588842637,APPROXIMATE,2004-12-31,APPROXIMATE_EFFECTIVE_DATE,MID
600149,2007-10-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,0.9736497213782366,APPROXIMATE,2007-06-30,APPROXIMATE_EFFECTIVE_DATE,MID
600149,2008-10-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,2.764446874478561,APPROXIMATE,2008-06-30,APPROXIMATE_EFFECTIVE_DATE,MID
600150,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,8.276205465834394,PIT_SAFE,2007-09-26,KNOWN_EFFECTIVE_DATE,LARGE
600150,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,28.327192357538554,PIT_SAFE,2007-09-26,KNOWN_EFFECTIVE_DATE,LARGE
600150,2012-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.86331261450276,PIT_SAFE,2010-09-27,KNOWN_EFFECTIVE_DATE,LARGE
600151,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.7640742555524322,PIT_SAFE,2001-01-08,KNOWN_EFFECTIVE_DATE,LARGE
600151,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.640181411106015,PIT_SAFE,2001-01-08,KNOWN_EFFECTIVE_DATE,LARGE
600151,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.861392337023722,PIT_SAFE,2001-01-08,KNOWN_EFFECTIVE_DATE,LARGE
600153,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.26989981794552403,PIT_SAFE,2003-09-23,KNOWN_EFFECTIVE_DATE,LARGE
600153,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.4859203649607937,PIT_SAFE,2007-09-12,KNOWN_EFFECTIVE_DATE,LARGE
600153,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.638716671681341,PIT_SAFE,2008-09-16,KNOWN_EFFECTIVE_DATE,LARGE
600155,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.1652967773364433,PIT_SAFE,2001-01-05,KNOWN_EFFECTIVE_DATE,LARGE
600155,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.7807489021668758,PIT_SAFE,2001-01-05,KNOWN_EFFECTIVE_DATE,LARGE
600155,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.7059756499924635,PIT_SAFE,2001-01-05,KNOWN_EFFECTIVE_DATE,LARGE
600156,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.1363331701700504,PIT_SAFE,2000-08-30,KNOWN_EFFECTIVE_DATE,MID
600156,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.6803676604696588,PIT_SAFE,2006-09-28,KNOWN_EFFECTIVE_DATE,MID
600156,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.28581317665809436,PIT_SAFE,2006-09-28,KNOWN_EFFECTIVE_DATE,MID
600157,2012-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.2667049990130135,PIT_SAFE,2012-03-26,KNOWN_EFFECTIVE_DATE,LARGE
600157,2015-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,12.615627518550964,PIT_SAFE,2015-03-06,KNOWN_EFFECTIVE_DATE,LARGE
600157,2018-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,25.904785912858102,PIT_SAFE,2018-02-14,KNOWN_EFFECTIVE_DATE,LARGE
600159,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.2357589347906106,PIT_SAFE,2001-03-13,KNOWN_EFFECTIVE_DATE,MID
600159,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.3713805173387232,PIT_SAFE,2001-03-13,KNOWN_EFFECTIVE_DATE,MID
600159,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.8988703428321245,PIT_SAFE,2007-11-08,KNOWN_EFFECTIVE_DATE,MID
600160,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.24429332565424214,PIT_SAFE,2001-09-07,KNOWN_EFFECTIVE_DATE,LARGE
600160,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.1502143870860815,PIT_SAFE,2001-09-07,KNOWN_EFFECTIVE_DATE,LARGE
600160,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.686612298895833,PIT_SAFE,2001-09-07,KNOWN_EFFECTIVE_DATE,LARGE
600161,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.1882439127521517,PIT_SAFE,2003-09-05,KNOWN_EFFECTIVE_DATE,LARGE
600161,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.0542322384307699,PIT_SAFE,2003-09-05,KNOWN_EFFECTIVE_DATE,LARGE
600161,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.7137488238275786,PIT_SAFE,2003-09-05,KNOWN_EFFECTIVE_DATE,LARGE
600167,2018-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.13768395181145,PIT_SAFE,2018-05-14,KNOWN_EFFECTIVE_DATE,LARGE
600167,2022-12-15,MID,PIT_SAFE_HISTORICAL_MCAP,12.791408798606032,PIT_SAFE,2019-06-06,KNOWN_EFFECTIVE_DATE,LARGE
600167,2024-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,11.05161706425,PIT_SAFE,2019-06-06,KNOWN_EFFECTIVE_DATE,LARGE
