replay_case_id,symbol,as_of_date,market_cap_quality,market_cap,ma20,atr_pct,vol_ratio,price_pos,filter_market_cap,filter_st,filter_turnover_1d,filter_turnover_20d,filter_price_pos,filter_vol_ratio,filter_atr,final_candidate,exclusion_reason,pit_confidence
600519_2008-06-15,600519,2008-06-15,PIT_SAFE,22177491089.944035,91.24796911652697,2.98618469809196,0.9296089013777019,53.977953046885155,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
600519_2015-06-15,600519,2015-06-15,PIT_SAFE,45697020472.46888,185.57069897265842,5.304139271524349,1.3317069872234257,82.91117398097721,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
600519_2022-12-15,600519,2022-12-15,PIT_SAFE,386041569082.70184,1412.459055575203,2.8201099952826625,0.8061093608856572,53.247159363339016,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
000858_2008-06-15,000858,2008-06-15,PIT_SAFE,13129400016.186626,27.519081820410086,5.979726887503226,0.4906795079810011,63.79684892455162,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000858_2015-06-15,000858,2015-06-15,PIT_SAFE,8505056239.94934,15.931083929401051,2.080551639505525,1.5906840992827964,82.16733153606232,PASS,UNKNOWN,PASS,PASS,FAIL,FAIL,FAIL,UNKNOWN,ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
000858_2022-12-15,000858,2022-12-15,PIT_SAFE,601533679025.4985,139.86234107599714,3.736675947632178,1.1510661303620542,42.619640782874654,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
601318_2008-06-15,601318,2008-06-15,PIT_SAFE,134710751333.71252,20.42998561129412,6.177453031158282,2.488385453745901,0.024627293104859713,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW,LOW
601318_2015-06-15,601318,2015-06-15,PIT_SAFE,230133529464.51987,27.44006349848097,4.354093499267508,0.9780268897483124,88.63982032120359,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
601318_2022-12-15,601318,2022-12-15,PIT_SAFE,305401751414.0629,34.57373381195295,3.2221832290443544,0.6597311319264086,62.317869812480275,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
600036_2008-06-15,600036,2008-06-15,PIT_SAFE,63035796350.35504,10.506224165154741,5.295425643953005,0.8682382275453263,55.996833045452746,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
600036_2015-06-15,600036,2015-06-15,PIT_SAFE,273598174464.9863,10.744441122240065,5.670178629786713,0.9721182766653274,86.11053393631985,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
600036_2022-12-15,600036,2022-12-15,PIT_SAFE,665390223818.3516,25.0418818604291,3.3151542353655805,0.6889533913037257,38.91030624267911,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW,LOW
000002_2008-06-15,000002,2008-06-15,PIT_SAFE,78771738221.73424,11.45795784531624,5.872967046079631,0.756626037698237,87.46964067989109,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000002_2015-06-15,000002,2015-06-15,PIT_SAFE,72581689800.39354,6.200766927984181,2.9621177787064936,2.0441423687322327,98.21342993652375,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
000002_2022-12-15,000002,2022-12-15,PIT_SAFE,214230981786.44,17.389000000000003,5.240935853734118,0.724181306066818,71.79487179487181,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000333_2015-06-15,000333,2015-06-15,PIT_SAFE,56626818199.79285,12.324730097293237,3.331189440886025,1.6707944567328172,100.0,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000333_2022-12-15,000333,2022-12-15,PIT_SAFE,274994705527.27814,36.36622564312788,3.2429803462762696,1.1512521776855928,37.34205837992058,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW,LOW
000568_2008-06-15,000568,2008-06-15,PIT_SAFE,18765470191.817635,22.77147259142862,6.0074134153442795,0.6064682555891827,66.6277275383693,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000568_2015-06-15,000568,2015-06-15,PIT_SAFE,16311446497.349537,19.006469561551768,3.028853089235359,0.809479419435019,77.56274414868723,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000568_2022-12-15,000568,2022-12-15,PIT_SAFE,287379567541.1246,172.7199648772967,4.577166522284333,1.02230954885026,61.29916850186541,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
002304_2015-06-15,002304,2015-06-15,UNKNOWN,,51.00056463200232,5.182004031612788,1.2852685510863293,100.0,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
002304_2022-12-15,002304,2022-12-15,UNKNOWN,,127.47539063507102,3.94758025052382,1.7135052998680051,67.68425172035231,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
002594_2015-06-15,002594,2015-06-15,PIT_SAFE,58887710658.65235,21.77323076276034,6.442762229799006,1.0577805326919665,83.94758647000499,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
