symbol,as_of_date,market_cap_bucket,period_bucket,regime
000001,2015-06-30,LARGE,2015_2019,HIGH_VOLATILITY
000002,2015-06-30,LARGE,2015_2019,HIGH_VOLATILITY
600007,2015-06-30,MID,2015_2019,HIGH_VOLATILITY
600009,2015-06-30,MID,2015_2019,HIGH_VOLATILITY
600519,2015-06-30,LARGE,2015_2019,HIGH_VOLATILITY
000001,2018-06-29,LARGE,2015_2019,LOW_VOLUME
600010,2018-06-29,MID,2015_2019,LOW_VOLUME
600019,2018-06-29,MID,2015_2019,LOW_VOLUME
600028,2018-06-29,LARGE,2015_2019,LOW_VOLUME
000001,2020-06-30,LARGE,2020_2024,SIDEWAYS
600007,2020-06-30,MID,2020_2024,SIDEWAYS
600009,2020-06-30,MID,2020_2024,SIDEWAYS
600050,2020-06-30,LARGE,2020_2024,SIDEWAYS
600519,2020-06-30,LARGE,2020_2024,SIDEWAYS
000001,2023-06-30,LARGE,2020_2024,SIDEWAYS
600096,2023-06-30,MID,2020_2024,SIDEWAYS
600110,2023-06-30,MID,2020_2024,SIDEWAYS
600188,2023-06-30,LARGE,2020_2024,SIDEWAYS
