code,name,total_mcap,sector,mcap_b,size_group,first_kline_date,first_year
301139,元道通信,455000000.0,通信工程及服务,4.55,SMALL,2022-07-08,2022
300417,南华仪器,1323000000.0,仪器仪表,13.23,MID,2015-01-22,2015
600455,博通股份,1336000000.0,垂直应用软件,13.36,MID,2007-04-11,2007
300621,维业股份,1367000000.0,装修装饰Ⅲ,13.67,MID,2017-03-15,2017
301167,建研设计,1403000000.0,工程咨询服务Ⅲ,14.03,MID,2021-12-03,2021
300535,达威股份,1404000000.0,其他化学制品,14.04,MID,2016-12-01,2016
300405,科隆股份,1408000000.0,其他化学制品,14.08,MID,2015-03-10,2015
600561,江西长运,1451000000.0,公交,14.51,MID,2003-01-07,2003
300220,金运激光,1477000000.0,娱乐用品,14.77,MID,2012-04-20,2012
300500,启迪设计,1481000000.0,工程咨询服务Ⅲ,14.81,MID,2016-05-13,2016
002207,准油股份,1483000000.0,油田服务,14.83,MID,2009-08-03,2009
300635,中达安,1484000000.0,工程咨询服务Ⅲ,14.84,MID,2017-04-13,2017
600493,凤竹纺织,1488000000.0,棉纺,14.88,MID,2004-07-21,2004
000929,兰州黄河,1490000000.0,啤酒,14.9,MID,2001-01-15,2001
300605,恒锋信息,1491000000.0,垂直应用软件,14.91,MID,2017-02-07,2017
300614,百川畅银,1500000000.0,固废治理,15.0,MID,2021-05-24,2021
002188,中天服务,1550000000.0,物业管理,15.5,MID,2008-09-12,2008
603717,天域生物,1558000000.0,园林工程,15.58,MID,2017-03-24,2017
301037,保立佳,1563000000.0,涂料油墨,15.63,MID,2021-07-29,2021
603022,新通联,1570000000.0,综合包装,15.7,MID,2015-05-20,2015
002743,富煌钢构,1571000000.0,钢结构,15.71,MID,2015-04-09,2015
600697,欧亚集团,1580000000.0,多业态零售,15.8,MID,2000-04-24,2000
600778,友好集团,1582000000.0,多业态零售,15.82,MID,2000-09-27,2000
300923,研奥股份,1586000000.0,轨交设备Ⅲ,15.86,MID,2020-12-23,2020
603908,牧高笛,1592000000.0,鞋帽及其他,15.92,MID,2017-03-06,2017
600137,浪莎股份,1596000000.0,非运动服装,15.96,MID,2000-10-24,2000
603860,中公高科,1600000000.0,工程咨询服务Ⅲ,16.0,MID,2017-08-01,2017
600883,博闻科技,1605000000.0,食用菌,16.05,MID,2000-03-23,2000
002316,亚联发展,1607999999.9999998,通信工程及服务,16.08,MID,2011-10-21,2011
300886,华业香料,1609000000.0,化妆品制造及其他,16.09,MID,2020-09-29,2020
301288,清研环境,1617000000.0000002,环保设备Ⅲ,16.17,MID,2022-04-25,2022
600448,华纺股份,1619000000.0000002,印染,16.19,MID,2002-04-05,2002
300899,上海凯鑫,1622000000.0,水务及水治理,16.22,MID,2020-10-19,2020
301098,金埔园林,1636000000.0,园林工程,16.36,MID,2021-11-11,2021
002494,华斯股份,1648999999.9999998,非运动服装,16.49,MID,2010-12-29,2010
605567,春雪食品,1654000000.0,预加工食品,16.54,MID,2021-10-12,2021
